AGE,CITIZEN,CRIMHIST,CRIMPTS,judge,NEWEDUC,NEWRACE,MONSEX,OFFICE,PRISTOT,PROBATN,SENTDATE,SENTMON,SENTYR
28,4,1,2,William E. Smith,1,3,0,1,121,0,11/15/2002,11,2002
19,2,0,0,William E. Smith,1,3,0,1,46,0,3/28/2003,3,2003
29,1,1,6,William E. Smith,1,1,0,1,121,0,1/10/2003,1,2003
28,1,1,12,William E. Smith,3,2,0,1,180,0,5/13/2003,5,2003
29,1,1,5,William E. Smith,1,2,0,1,121,0,4/7/2003,4,2003
35,1,1,1,William E. Smith,3,1,1,1,0,48,2/7/2003,2,2003
39,1,0,0,William E. Smith,1,1,0,1,0,12,5/23/2003,5,2003
60,1,0,0,William E. Smith,6,1,0,1,0,12,5/23/2003,5,2003
22,1,1,6,William E. Smith,3,2,0,1,84,0,5/2/2003,5,2003
25,1,1,10,William E. Smith,3,2,0,1,151,0,5/21/2003,5,2003
45,2,1,10,William E. Smith,1,2,0,1,74,0,5/2/2003,5,2003
25,1,1,6,William E. Smith,3,2,0,1,188,0,7/24/2003,7,2003
34,3,1,9,William E. Smith,1,3,0,1,41,0,6/20/2003,6,2003
22,1,1,4,William E. Smith,1,2,0,1,45,0,,2,2004
21,1,1,2,William E. Smith,1,1,0,1,35,0,7/18/2003,7,2003
35,4,0,0,William E. Smith,3,1,0,1,0,36,6/27/2003,6,2003
31,1,1,8,William E. Smith,1,2,0,1,21,0,7/18/2003,7,2003
29,1,1,16,William E. Smith,3,2,0,1,120,0,,4,2005
28,1,1,7,William E. Smith,5,2,0,1,27,0,8/22/2003,8,2003
19,1,1,3,William E. Smith,1,1,0,1,27,0,,10,2003
22,1,1,5,William E. Smith,1,2,0,1,53,0,,10,2003
21,1,1,4,William E. Smith,1,2,0,1,36,0,8/15/2003,8,2003
30,1,1,19,William E. Smith,3,1,0,1,70,0,,7,2005
28,1,1,10,William E. Smith,3,2,0,1,262,0,,2,2004
30,1,1,1,William E. Smith,1,2,0,1,63,0,9/19/2003,9,2003
29,3,1,3,William E. Smith,1,3,0,1,51,0,,11,2003
21,1,1,4,William E. Smith,3,1,0,1,27,0,,11,2003
40,1,1,5,William E. Smith,3,2,0,1,210,0,,10,2003
49,1,1,5,William E. Smith,3,1,0,1,78,0,,1,2004
42,1,1,2,William E. Smith,3,1,0,1,8,0,,10,2003
59,1,0,0,William E. Smith,3,1,0,1,0,60,,12,2003
24,1,1,4,William E. Smith,1,1,0,1,51,0,,2,2004
27,1,1,4,William E. Smith,1,3,0,1,115,0,,2,2004
27,1,1,10,William E. Smith,3,3,0,1,76,0,,3,2004
39,1,1,1,William E. Smith,5,1,0,1,0,60,,1,2004
40,1,1,8,William E. Smith,1,3,0,1,46,0,,2,2004
28,1,1,4,William E. Smith,3,1,0,1,0,36,,7,2004
23,1,1,10,William E. Smith,1,2,0,1,235,0,,8,2004
32,1,1,24,William E. Smith,1,2,0,1,115,0,,5,2004
